,% of FGA by Distance/0-3,% of FGA by Distance/10-16,% of FGA by Distance/16-3pt,% of FGA by Distance/2P,% of FGA by Distance/3-10,% of FGA by Distance/3P,Cornder/3P%,Corner/%3PA,Corner/3P%,Dunks/%FGA,Dunks/Md.,FG% by Distance/0-3,FG% by Distance/10-16,FG% by Distance/16-3pt,FG% by Distance/2P,FG% by Distance/3-10,FG% by Distance/3P,Heaves/Att.,Heaves/Md.,Unnamed: 0_level_1/Season,Unnamed: 1_level_1/Age,Unnamed: 21_level_1/%Ast'd,Unnamed: 24_level_1/%Ast'd,Unnamed: 24_level_1/Ast'd,Unnamed: 2_level_1/Tm,Unnamed: 3_level_1/Lg,Unnamed: 4_level_1/Pos,Unnamed: 5_level_1/G,Unnamed: 6_level_1/MP,Unnamed: 7_level_1/FG%,Unnamed: 8_level_1/Dist.
10351,0.483,0.087,0.142,0.986,0.275,0.013999999999999999,,0.0,,0.162,48.0,0.581,0.33299999999999996,0.408,0.47200000000000003,0.358,0.0,1.0,0.0,2006-07,27.0,0.5529999999999999,,,MEM,NBA,C,54.0,1029.0,0.465,6.3
10352,0.517,0.125,0.17,0.992,0.18100000000000002,0.008,,0.0,,0.20800000000000002,48.0,0.635,0.33299999999999996,0.289,0.513,0.5,0.0,1.0,0.0,2007-08,28.0,0.7190000000000001,,,TOT,NBA,PF,56.0,844.0,0.509,6.3
10353,0.531,0.13,0.113,0.9890000000000001,0.215,0.011000000000000001,,0.0,,0.18100000000000002,29.0,0.67,0.261,0.25,0.531,0.5,0.0,1.0,0.0,2007-08,28.0,0.688,,,MEM,NBA,PF,35.0,549.0,0.525,5.7
10354,0.489,0.114,0.284,1.0,0.114,0.0,,,,0.261,19.0,0.5579999999999999,0.5,0.32,0.47700000000000004,0.5,,0.0,0.0,2007-08,28.0,0.7859999999999999,,,NJN,NBA,PF,21.0,295.0,0.47700000000000004,7.5
10355,0.46399999999999997,0.071,0.179,0.982,0.268,0.018000000000000002,,1.0,1.0,0.179,9.0,0.5379999999999999,0.0,0.3,0.418,0.4,1.0,0.0,0.0,2008-09,29.0,0.826,1.0,,TOT,NBA,PF,19.0,185.0,0.429,6.3
10356,0.667,0.067,0.133,1.0,0.133,0.0,,,,0.2,3.0,0.5,0.0,1.0,0.6,1.0,,0.0,0.0,2008-09,29.0,1.0,,,NJN,NBA,PF,6.0,64.0,0.6,4.5
10357,0.39,0.073,0.195,0.976,0.317,0.024,,1.0,1.0,0.171,6.0,0.563,0.0,0.125,0.35,0.308,1.0,0.0,0.0,2008-09,29.0,0.7140000000000001,1.0,,PHO,NBA,PF,13.0,121.0,0.366,7.0
10358,0.33299999999999996,0.0,0.0,0.833,0.5,0.16699999999999998,,1.0,0.0,0.0,0.0,0.5,,,0.4,0.33299999999999996,0.0,0.0,0.0,2010-11,22.0,0.0,,,ATL,NBA,SF,3.0,21.0,0.33299999999999996,6.7
10359,0.628,0.198,0.040999999999999995,0.992,0.124,0.008,,0.0,,0.157,18.0,0.355,0.625,0.4,0.45,0.667,0.0,0.0,0.0,1996-97,28.0,0.759,,,BOS,NBA,C,70.0,662.0,0.446,4.4
10360,0.33299999999999996,0.16699999999999998,0.33299999999999996,0.833,0.0,0.16699999999999998,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,2004-05,24.0,,0.0,,PHO,NBA,PG,4.0,17.0,0.16699999999999998,12.7
10361,0.632,0.105,0.0,1.0,0.263,0.0,,,,0.132,5.0,0.667,0.75,,0.605,0.4,,0.0,0.0,2005-06,20.0,0.609,,,GSW,NBA,C,17.0,144.0,0.605,3.4
10362,0.32,0.096,0.188,0.71,0.107,0.29,,0.22699999999999998,0.564,0.071,51.0,0.629,0.43799999999999994,0.42,0.49200000000000005,0.258,0.434,0.0,0.0,2017-18,19.0,0.565,0.924,,BOS,NBA,SF,80.0,2438.0,0.475,12.7
10363,0.261,0.13699999999999998,0.16899999999999998,0.7,0.133,0.3,,0.273,0.341,0.07,68.0,0.6779999999999999,0.43,0.349,0.483,0.326,0.373,0.0,0.0,2018-19,20.0,0.49700000000000005,0.853,,BOS,NBA,SF,79.0,2455.0,0.45,13.6
10364,0.255,0.11900000000000001,0.085,0.623,0.16399999999999998,0.377,,0.18100000000000002,0.395,0.055,56.0,0.616,0.402,0.368,0.479,0.379,0.39799999999999996,2.0,0.0,2019-20,21.0,0.434,0.557,,BOS,NBA,PF,59.0,2043.0,0.44799999999999995,14.1
10365,0.36,0.051,0.368,0.875,0.096,0.125,,0.235,0.25,0.015,2.0,0.51,0.429,0.34,0.41200000000000003,0.308,0.235,0.0,0.0,2005-06,23.0,0.551,0.5,,WAS,NBA,SG,51.0,465.0,0.39,11.7
10366,0.314,0.064,0.40700000000000003,0.879,0.09300000000000001,0.121,,0.17600000000000002,0.0,0.021,3.0,0.591,0.222,0.386,0.431,0.231,0.17600000000000002,0.0,0.0,2006-07,24.0,0.547,0.33299999999999996,,WAS,NBA,SG,47.0,369.0,0.4,12.6
10367,0.28600000000000003,0.0,0.14300000000000002,0.7140000000000001,0.28600000000000003,0.28600000000000003,,0.5,0.0,0.0,0.0,0.0,,1.0,0.2,0.0,0.0,0.0,0.0,2016-17,22.0,1.0,,,HOU,NBA,PG,4.0,52.0,0.14300000000000002,11.9
10368,0.374,0.10800000000000001,0.055999999999999994,0.795,0.256,0.205,,0.138,0.455,0.01,3.0,0.61,0.214,0.273,0.461,0.39,0.25,3.0,0.0,2017-18,23.0,0.266,0.75,,ATL,NBA,PG,67.0,1167.0,0.418,9.6
10369,0.18899999999999997,0.297,0.27,0.946,0.18899999999999997,0.054000000000000006,,0.0,,0.054000000000000006,2.0,0.7140000000000001,0.273,0.2,0.34299999999999997,0.28600000000000003,0.5,0.0,0.0,1997-98,23.0,0.75,1.0,,ORL,NBA,SF,12.0,108.0,0.35100000000000003,11.8
10370,0.19699999999999998,0.071,0.32299999999999995,0.657,0.066,0.34299999999999997,,0.353,0.41700000000000004,0.071,12.0,0.615,0.28600000000000003,0.391,0.431,0.231,0.382,0.0,0.0,1998-99,24.0,0.679,0.9620000000000001,,DEN,NBA,SF,36.0,724.0,0.414,15.9
10371,0.214,0.214,0.35700000000000004,0.929,0.14300000000000002,0.071,,0.0,,0.071,0.0,0.33299999999999996,0.33299999999999996,0.2,0.308,0.5,1.0,0.0,0.0,1999-00,25.0,0.75,0.0,,TOT,NBA,SF,6.0,34.0,0.35700000000000004,11.8
10372,0.0,0.5,0.5,1.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,1999-00,25.0,,,,DEN,NBA,SF,1.0,5.0,0.0,14.5
10373,0.25,0.16699999999999998,0.33299999999999996,0.917,0.16699999999999998,0.083,,0.0,,0.083,0.0,0.33299999999999996,0.5,0.25,0.364,0.5,1.0,0.0,0.0,1999-00,25.0,0.75,0.0,,ORL,NBA,SF,5.0,29.0,0.41700000000000004,11.3
10374,0.307,0.225,0.218,0.9990000000000001,0.249,0.001,,0.0,,0.092,56.0,0.604,0.48700000000000004,0.34700000000000003,0.47600000000000003,0.423,0.0,0.0,0.0,1997-98,21.0,0.47,,,LAC,NBA,PF,71.0,1513.0,0.47600000000000003,8.7
10375,0.28300000000000003,0.21,0.212,0.991,0.287,0.009000000000000001,,0.16699999999999998,0.0,0.055,30.0,0.597,0.38,0.455,0.46299999999999997,0.397,0.16699999999999998,0.0,0.0,1998-99,22.0,0.39,1.0,,LAC,NBA,PF,46.0,1505.0,0.461,8.9
10376,0.23600000000000002,0.275,0.28,0.992,0.2,0.008,,0.375,0.0,0.063,56.0,0.627,0.401,0.43700000000000006,0.466,0.409,0.125,0.0,0.0,1999-00,23.0,0.47700000000000004,0.0,,LAC,NBA,PF,62.0,2227.0,0.46399999999999997,10.4
10377,0.247,0.235,0.31,0.995,0.203,0.005,,0.0,,0.066,48.0,0.69,0.42200000000000004,0.413,0.49200000000000005,0.451,0.0,0.0,0.0,2000-01,24.0,0.5670000000000001,,,HOU,NBA,SF,69.0,1972.0,0.489,10.6
10378,0.273,0.18899999999999997,0.293,0.996,0.24100000000000002,0.004,,0.0,,0.067,32.0,0.534,0.386,0.35700000000000004,0.433,0.45,0.0,0.0,0.0,2002-03,26.0,0.41100000000000003,,,HOU,NBA,PF,67.0,1377.0,0.43200000000000005,9.7
10379,0.294,0.213,0.306,0.997,0.184,0.003,,0.0,,0.063,39.0,0.5870000000000001,0.423,0.43200000000000005,0.48100000000000004,0.461,0.0,0.0,0.0,2003-04,27.0,0.5589999999999999,,,HOU,NBA,PF,75.0,2081.0,0.48,10.0
10380,0.321,0.152,0.327,0.98,0.179,0.02,,0.33299999999999996,0.33299999999999996,0.07400000000000001,26.0,0.5589999999999999,0.324,0.349,0.45799999999999996,0.588,0.33299999999999996,0.0,0.0,2004-05,28.0,0.6,1.0,,TOT,NBA,PF-C,65.0,1336.0,0.455,10.0
10381,0.349,0.134,0.377,0.973,0.113,0.027000000000000003,,0.375,0.33299999999999996,0.079,18.0,0.529,0.282,0.327,0.43700000000000006,0.6970000000000001,0.375,0.0,0.0,2004-05,28.0,0.653,1.0,,HOU,NBA,PF,38.0,905.0,0.435,10.6
10382,0.266,0.188,0.23399999999999999,0.9940000000000001,0.305,0.006,,0.0,,0.065,8.0,0.634,0.379,0.41700000000000004,0.49700000000000005,0.511,0.0,0.0,0.0,2004-05,28.0,0.513,,,NYK,NBA,C,27.0,431.0,0.494,9.0
10383,0.275,0.17,0.28,0.997,0.272,0.003,,0.0,,0.027999999999999997,10.0,0.617,0.409,0.358,0.469,0.47200000000000003,0.0,1.0,0.0,2005-06,29.0,0.489,,,NYK,NBA,PF,67.0,1210.0,0.46799999999999997,9.4
10384,0.536,0.071,0.179,1.0,0.214,0.0,,,,0.107,2.0,0.33299999999999996,0.0,0.0,0.28600000000000003,0.5,,0.0,0.0,2006-07,30.0,0.25,,,SAC,NBA,PF,12.0,103.0,0.28600000000000003,6.1
10385,0.40399999999999997,0.079,0.15,0.85,0.217,0.15,,0.175,0.429,0.034,5.0,0.45399999999999996,0.28600000000000003,0.45,0.42700000000000005,0.414,0.325,5.0,1.0,2008-09,23.0,0.268,0.6920000000000001,,LAC,NBA,PG,51.0,771.0,0.41200000000000003,9.6
10386,0.33299999999999996,0.046,0.115,0.851,0.35600000000000004,0.149,,0.077,1.0,0.023,2.0,0.379,0.5,0.6,0.35100000000000003,0.226,0.462,0.0,0.0,2012-13,22.0,0.192,0.33299999999999996,,BRK,NBA,PG,38.0,221.0,0.368,9.3
10387,0.341,0.121,0.165,0.868,0.242,0.132,,0.083,0.0,0.022000000000000002,2.0,0.419,0.182,0.267,0.354,0.409,0.25,0.0,0.0,2013-14,23.0,0.28600000000000003,0.667,,BRK,NBA,PG,23.0,270.0,0.341,10.2
10388,0.366,0.044000000000000004,0.19399999999999998,0.8590000000000001,0.256,0.141,,0.094,0.33299999999999996,0.04,9.0,0.5539999999999999,0.1,0.364,0.426,0.345,0.21899999999999997,3.0,0.0,2009-10,21.0,0.27699999999999997,0.5710000000000001,,ATL,NBA,PG,71.0,719.0,0.396,10.4
10389,0.316,0.109,0.145,0.8420000000000001,0.273,0.158,,0.10400000000000001,0.6,0.049,15.0,0.563,0.33299999999999996,0.273,0.449,0.45799999999999996,0.375,1.0,0.0,2010-11,22.0,0.27,0.444,,ATL,NBA,PG,70.0,963.0,0.43799999999999994,10.5
10390,0.4,0.07400000000000001,0.08199999999999999,0.778,0.222,0.222,,0.06,0.33299999999999996,0.055,33.0,0.613,0.42,0.327,0.514,0.436,0.342,0.0,0.0,2011-12,23.0,0.223,0.765,,ATL,NBA,PG,66.0,2183.0,0.47600000000000003,9.9
10391,0.337,0.077,0.11900000000000001,0.745,0.213,0.255,,0.09699999999999999,0.375,0.022000000000000002,19.0,0.595,0.42700000000000005,0.371,0.48200000000000004,0.386,0.359,0.0,0.0,2012-13,24.0,0.203,0.7190000000000001,,ATL,NBA,PG,80.0,2628.0,0.451,11.4
10392,0.308,0.11699999999999999,0.10400000000000001,0.784,0.255,0.21600000000000003,,0.111,0.4,0.009000000000000001,8.0,0.606,0.377,0.38,0.469,0.381,0.32899999999999996,2.0,0.0,2013-14,25.0,0.19899999999999998,0.595,,ATL,NBA,PG,79.0,2542.0,0.43799999999999994,10.9
10393,0.364,0.086,0.083,0.767,0.233,0.233,,0.11599999999999999,0.33299999999999996,0.024,20.0,0.619,0.42100000000000004,0.405,0.496,0.36200000000000004,0.34299999999999997,0.0,0.0,2014-15,26.0,0.193,0.69,,ATL,NBA,PG,73.0,2228.0,0.46,10.5
