,Season,Pos,%2PA,%0-3A,%3-10A,%10-16A,%16-3ptA,%3PA,2P%,0-3%,3-10%,10-16%,16-3pt%,3P%,MPG
6574,14,4,0.8009999999999999,0.248,0.195,0.154,0.203,0.199,0.4970000000000001,0.6559999999999999,0.479,0.421,0.38,0.469,13.10204081632653
6575,15,4,0.894,0.319,0.14300000000000002,0.15,0.282,0.106,0.467,0.701,0.256,0.439,0.325,0.241,13.079365079365079
6576,16,4,0.764,0.305,0.18,0.13699999999999998,0.142,0.236,0.511,0.725,0.345,0.422,0.348,0.382,18.73134328358209
6577,17,4,0.741,0.263,0.15,0.181,0.149,0.259,0.545,0.7879999999999999,0.423,0.453,0.354,0.293,25.92
6578,18,4,0.917,0.389,0.194,0.222,0.111,0.083,0.455,0.7140000000000001,0.14300000000000002,0.5,0.0,0.0,17.0
6581,0,2,0.789,0.235,0.134,0.124,0.295,0.211,0.374,0.557,0.35,0.243,0.295,0.365,12.108108108108109
6583,2,2,0.8740000000000001,0.266,0.084,0.133,0.392,0.126,0.488,0.789,0.25,0.421,0.35700000000000004,0.16699999999999998,13.61111111111111
6588,17,2,0.6759999999999999,0.451,0.092,0.028,0.106,0.324,0.396,0.531,0.077,0.0,0.2,0.37,12.53225806451613
6589,17,2,0.669,0.441,0.08800000000000001,0.029,0.11,0.331,0.385,0.517,0.083,0.0,0.2,0.378,12.327868852459016
6590,17,2,0.833,0.667,0.16699999999999998,0.0,0.0,0.16699999999999998,0.6,0.75,0.0,,,0.0,25.0
6591,18,2,0.5,0.189,0.104,0.038,0.17,0.5,0.396,0.45,0.273,0.25,0.444,0.358,12.482758620689655
6592,18,2,0.446,0.154,0.108,0.031,0.154,0.5539999999999999,0.379,0.3,0.28600000000000003,0.5,0.5,0.306,15.483870967741936
6594,13,1,0.609,0.262,0.064,0.061,0.224,0.391,0.469,0.531,0.378,0.449,0.4270000000000001,0.368,38.6219512195122
6595,14,1,0.575,0.289,0.1,0.055,0.13,0.425,0.447,0.512,0.29,0.389,0.447,0.394,35.81707317073171
6596,15,1,0.579,0.285,0.08800000000000001,0.06,0.147,0.421,0.5,0.642,0.261,0.444,0.39,0.343,35.670731707317074
6597,16,1,0.586,0.26,0.11,0.07200000000000001,0.145,0.414,0.45,0.546,0.315,0.368,0.423,0.375,35.68
6598,17,1,0.612,0.269,0.126,0.08,0.13699999999999998,0.388,0.491,0.6,0.335,0.4370000000000001,0.451,0.37,35.92
